id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
2;2025-05-21 22.16.37;26,9;92,6;4,3;173;34;15;25;1;63,6;28,1;46,8;13,6;11,7;12,1;138,5;37,4;149,5;-31,7;1;0
6;2025-05-21 22.17.07;26,9;92,6;4,3;173;35;20;27;1;65,5;37,4;50,5;13,6;11,7;12,1;153,5;37,4;134,5;-31,7;1;0
9;2025-05-21 22.17.30;27;92,6;4,3;173;37;22;29;1;69,3;41,2;54,3;13,6;11,7;12,1;164,7;37,4;123,3;-31,7;1;0
10;2025-05-21 22.17.37;27;92,3;4,3;173;25;21;21;1;46,8;39,3;39,3;13,5;11,7;12,1;125,4;37,3;162,6;-31,6;1;0
12;2025-05-21 22.17.52;26,9;92,3;4,2;173;38;15;28;1;71,1;28,1;52,4;13,6;11,8;12,1;151,6;37,5;136,4;-31,8;1;0
13;2025-05-21 22.17.59;26,9;92,4;4,2;173;35;13;22;1;65,5;24,3;41,2;13,7;11,8;12,1;131,0;37,6;157,0;-31,8;1;0
16;2025-05-21 22.18.21;26,9;92,4;4,2;173;38;10;27;1;71,1;18,7;50,5;13,7;11,8;12,1;140,4;37,6;147,6;-31,8;1;0
18;2025-05-21 22.18.36;26,9;92,6;4,2;173;36;26;21;1;67,4;48,7;39,3;13,7;11,8;12,2;155,4;37,6;132,6;-31,9;1;0
19;2025-05-21 22.18.43;26,9;92,6;4,2;173;35;21;25;1;65,5;39,3;46,8;13,7;11,8;12,2;151,6;37,6;136,4;-31,9;1;0
25;2025-05-21 22.19.27;26,9;92,6;4,1;173;35;20;31;1;65,5;37,4;58,0;13,8;11,8;12,2;161,0;37,8;127,0;-32,1;1;0
27;2025-05-21 22.19.42;26,9;92,3;4,1;173;26;22;21;1;48,7;41,2;39,3;13,7;11,8;12,2;129,2;37,7;158,8;-32,0;1;0
28;2025-05-21 22.19.49;26,8;92,6;4,1;173;36;20;35;1;67,4;37,4;65,5;13,8;11,8;12,2;170,4;37,8;117,6;-32,1;1;0
29;2025-05-21 22.19.56;26,8;92,1;4,1;173;26;12;24;1;48,7;22,5;44,9;13,7;11,8;12,2;116,1;37,7;171,9;-31,9;1;0
