id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
2;2025-05-21 22.16.37;15,0;15,0;4,0;60,0;55,0;45,0;60,0;1;103,0;84,2;112,3;2,2;2,5;3,0;299,5;7,8;-11,5;0,2;0;1
6;2025-05-21 22.17.07;15,0;15,0;4,0;60,0;56,0;40,0;62,0;1;104,8;74,9;116,1;2,2;2,5;3,0;295,8;7,8;-7,8;0,2;0;1
9;2025-05-21 22.17.30;14,0;15,0;4,0;60,0;57,0;42,0;60,0;1;106,7;78,6;112,3;2,2;2,5;3,0;297,6;7,8;-9,6;0,2;0;1
10;2025-05-21 22.17.37;15,0;15,0;4,0;60,0;56,0;43,0;60,0;1;104,8;80,5;112,3;2,2;2,5;3,0;297,6;7,8;-9,6;0,2;0;1
12;2025-05-21 22.17.52;15,0;15,0;4,0;60,0;58,0;40,0;61,0;1;108,6;74,9;114,2;2,2;2,5;3,0;297,6;7,8;-9,6;0,2;0;1
13;2025-05-21 22.17.59;15,0;15,0;4,0;60,0;57,0;45,0;59,0;1;106,7;84,2;110,4;2,2;2,5;3,0;301,4;7,8;-13,4;0,2;0;1
16;2025-05-21 22.18.21;15,0;15,0;4,0;60,0;58,0;44,0;57,0;1;108,6;82,4;106,7;2,2;2,5;3,0;297,6;7,8;-9,6;0,2;0;1
18;2025-05-21 22.18.36;15,0;15,0;4,0;60,0;55,0;45,0;49,0;1;103,0;84,2;91,7;2,2;2,5;3,0;278,9;7,8;9,1;0,2;1;1
19;2025-05-21 22.18.43;15,0;15,0;4,0;60,0;35,0;21,0;25,0;1;65,5;39,3;46,8;2,2;2,5;3,0;151,6;7,8;136,4;0,2;1;1
25;2025-05-21 22.19.27;15,0;15,0;4,0;60,0;35,0;20,0;31,0;1;65,5;37,4;58,0;2,2;2,5;3,0;161,0;7,8;127,0;0,2;1;1
27;2025-05-21 22.19.42;15,0;15,0;4,0;60,0;26,0;22,0;21,0;1;48,7;41,2;39,3;2,2;2,5;3,0;129,2;7,8;158,8;0,2;1;1
28;2025-05-21 22.19.49;15,0;15,0;4,0;60,0;36,0;20,0;35,0;1;67,4;37,4;65,5;2,2;2,5;3,0;170,4;7,8;117,6;0,2;1;1
29;2025-05-21 22.19.56;15,0;15,0;4,0;60,0;26,0;12,0;24,0;1;48,7;22,5;44,9;2,2;2,5;3,0;116,1;7,8;171,9;0,2;1;1
30;2025-05-21 22.20.03;15,0;15,0;4,0;60,0;39,0;10,0;34,0;1;73,0;18,7;63,6;2,2;2,5;3,0;155,4;7,8;132,6;0,2;1;1
37;2025-05-21 22.20.54;15,0;15,0;4,0;60,0;26,0;11,0;25,0;1;48,7;20,6;46,8;2,2;2,5;3,0;116,1;7,8;171,9;0,2;1;1
38;2025-05-21 22.21.01;15,0;15,0;4,0;60,0;37,0;22,0;33,0;1;69,3;41,2;61,8;2,2;2,5;3,0;172,2;7,8;115,8;0,2;1;1
40;2025-05-21 22.21.15;15,0;15,0;4,0;60,0;39,0;11,0;31,0;1;73,0;20,6;58,0;2,2;2,5;3,0;151,6;7,8;136,4;0,2;1;1
43;2025-05-21 22.21.37;15,0;15,0;4,0;60,0;33,0;14,0;32,0;1;61,8;26,2;59,9;2,2;2,5;3,0;147,9;7,8;140,1;0,2;1;1
54;2025-05-21 22.22.59;15,0;15,0;4,0;60,0;35,0;27,0;23,0;1;65,5;50,5;43,1;2,2;2,5;3,0;159,1;7,8;128,9;0,2;1;1
63;2025-05-21 22.24.06;15,0;15,0;4,0;60,0;28,0;17,0;21,0;1;52,4;31,8;39,3;2,2;2,5;3,0;123,6;7,8;164,4;0,2;1;1
66;2025-05-21 22.24.29;15,0;15,0;4,0;60,0;32,0;18,0;23,0;1;59,9;33,7;43,1;2,2;2,5;3,0;136,7;7,8;151,3;0,2;1;1
75;2025-05-21 22.25.36;15,0;15,0;4,0;60,0;32,0;22,0;22,0;1;59,9;41,2;41,2;2,2;2,5;3,0;142,3;7,8;145,7;0,2;1;1
